route,label,voyage_idx,sh_base,eta_h,sr_fuel_mt,luo_fuel_mt,baseline_fuel_mt,gap_mt,gap_pct,gap_sr_baseline_mt,gap_sr_baseline_pct,gap_luo_baseline_mt,gap_luo_baseline_pct,sr_voyage_time_h,luo_voyage_time_h,sr_slack_h,luo_slack_h,sr_n_nodes,sr_n_edges,sr_build_s,sr_solve_s,luo_n_blocks,luo_solve_s
route2,Atlantic,1,168,168,204.241,209.522,212.775,-5.2809999999999775,-2.5204990406735224,-8.533999999999992,-4.01080954059452,-3.2530000000000143,-1.528845024086483,168.0,168.0,0.0,0.0,71861,4325288,6.3,0.11,28,7.01
route2,Atlantic,2,336,168,197.054,202.78,203.647,-5.725999999999999,-2.8237498767136793,-6.592999999999989,-3.237464828845988,-0.8669999999999902,-0.42573669143173737,168.0,168.0,0.0,0.0,71861,4325288,6.1,0.12,28,7.69
route2,Atlantic,3,504,168,206.332,212.688,214.538,-6.3559999999999945,-2.9884149552395973,-8.206000000000017,-3.8249634097456005,-1.8500000000000227,-0.8623180974932285,168.0,168.0,0.0,0.0,71861,4325288,6.0,0.11,28,7.94
route2,Atlantic,4,672,168,216.284,223.583,225.978,-7.299000000000007,-3.264559470084938,-9.694000000000017,-4.2897981219410815,-2.3950000000000102,-1.0598376833143095,168.0,168.0,0.0,0.0,71861,4325288,6.2,0.11,28,11.97
route2,Atlantic,5,840,168,190.727,197.298,200.496,-6.570999999999998,-3.3304949872781267,-9.769000000000005,-4.872416407309874,-3.1980000000000075,-1.5950442901604058,168.0,168.0,0.0,0.0,71861,4325288,6.2,0.13,28,7.46
route2,Atlantic,6,1008,168,227.914,233.823,237.087,-5.90900000000002,-2.5271252186483024,-9.173000000000002,-3.8690438531003393,-3.2639999999999816,-1.3767098153842183,168.0,168.0,0.0,0.0,71861,4325288,6.2,0.12,28,7.62
route2,Atlantic,7,1176,168,194.455,198.313,200.425,-3.8579999999999757,-1.9454095293803109,-5.969999999999999,-2.978670325558188,-2.112000000000023,-1.053760758388436,168.0,168.0,0.0,0.0,71861,4325288,6.2,0.12,28,7.33
route2,Atlantic,8,1344,168,195.826,198.527,199.348,-2.7009999999999934,-1.3605202315050313,-3.52200000000002,-1.7667596364147216,-0.8210000000000264,-0.41184260689850233,168.0,168.0,0.0,0.0,71861,4325288,6.2,0.11,28,7.88
route2,Atlantic,9,1512,168,193.111,197.174,198.987,-4.063000000000017,-2.0606165113047443,-5.876000000000005,-2.952956725816262,-1.8129999999999882,-0.9111147964439829,168.0,168.0,0.0,0.0,71861,4325288,6.1,0.12,28,8.18
route2,Atlantic,10,1680,168,199.508,204.092,206.864,-4.584000000000003,-2.2460459008682374,-7.3559999999999945,-3.5559594709567612,-2.7719999999999914,-1.340010828370326,168.0,168.0,0.0,0.0,71861,4325288,6.2,0.12,28,8.05
route2,Atlantic,11,1848,168,198.927,204.792,206.103,-5.865000000000009,-2.863881401617255,-7.176000000000016,-3.481754268496827,-1.311000000000007,-0.63608972212923,168.0,168.0,0.0,0.0,71861,4325288,6.1,0.12,28,7.84
route2,Atlantic,12,2016,168,214.21,220.091,222.482,-5.881,-2.6720765501542543,-8.271999999999991,-3.718053595347035,-2.390999999999991,-1.0746936830844702,168.0,168.0,0.0,0.0,71861,4325288,6.2,0.11,28,8.86
route2,Atlantic,13,2184,168,185.264,190.528,192.448,-5.263999999999982,-2.7628485052065743,-7.1839999999999975,-3.732956434985033,-1.920000000000016,-0.9976720984369886,168.0,168.0,0.0,0.0,71861,4325288,6.4,0.13,28,7.87
route2,Atlantic,14,2352,168,186.959,190.846,191.621,-3.8870000000000005,-2.0367207067478494,-4.662000000000006,-2.4329274975081048,-0.7750000000000057,-0.40444418931119536,168.0,168.0,0.0,0.0,71861,4325288,6.2,0.11,28,7.6
route2,Atlantic,15,2520,168,193.809,200.395,201.6,-6.586000000000013,-3.286509144439738,-7.790999999999997,-3.8645833333333317,-1.204999999999984,-0.5977182539682461,168.0,168.0,0.0,0.0,71861,4325288,6.1,0.11,28,8.02
route2,Atlantic,16,2688,168,179.344,187.468,188.506,-8.123999999999995,-4.33353959075682,-9.162000000000006,-4.860322748347536,-1.038000000000011,-0.5506456027924899,168.0,168.0,0.0,0.0,71861,4325288,6.1,0.11,28,7.97
route2,Atlantic,17,2856,168,178.677,183.26,185.405,-4.582999999999998,-2.5008185092218698,-6.728000000000009,-3.628812599444464,-2.1450000000000102,-1.1569267279739006,168.0,168.0,0.0,0.0,71861,4325288,6.0,0.11,28,7.78
route2,Atlantic,18,3024,168,190.518,196.148,197.613,-5.6299999999999955,-2.8702816240797744,-7.094999999999999,-3.590350837242488,-1.4650000000000034,-0.7413479882396419,168.0,168.0,0.0,0.0,71861,4325288,6.0,0.11,28,8.92
route2,Atlantic,19,3192,168,188.983,192.51,194.095,-3.526999999999987,-1.8321126175263553,-5.111999999999995,-2.633761817666604,-1.585000000000008,-0.8166104227311409,168.0,168.0,0.0,0.0,71861,4325288,6.0,0.11,28,8.11
