node_id,segment,lat,lon,planned_sog_knots,actual_sog_knots,planned_sws_knots,actual_sws_knots,distance_nm,time_h,fuel_mt,cum_distance_nm,cum_time_h,cum_fuel_mt,beaufort,wave_height_m,current_knots,heading_deg
10,0,25.726519054154934,54.75793883801757,11.809718195865253,11.809718195865253,11.9580078125,11.9580078125,11.999999999999702,1.0161123069135611,1.2266563488791657,132.00000000000006,11.177235376049454,12.746413016719643,2,0.5,0.2173284314106144,61.166503155750185
11,0,25.822778086953605,54.952448353925135,11.809718195865253,11.809718195865253,12.06787109375,12.06787109375,12.000000000000426,1.0161123069136224,1.2607773556057926,144.00000000000048,12.193347682963077,14.007190372325436,1,0.5199999809265137,0.19438444087623777,61.25108234874175
12,0,25.91877778899915,55.14727396707718,11.809718195865253,11.809718195865253,12.7728271484375,12.7728271484375,11.99999999999946,1.0161123069135407,1.49488408252437,155.99999999999994,13.209459989876619,15.502074454849806,1,0.47999998927116394,1.1703494300595112,61.33609322533856
13,0,26.01451662763809,55.34241668529839,11.809718195865253,11.809718195865253,12.6629638671875,12.6629638671875,12.000000000000227,1.0161123069136058,1.4566409517475196,168.00000000000017,14.225572296790224,16.958715406597324,2,0.46000000834465027,0.9719222204731556,61.421536145463634
14,0,26.109993066479976,55.53787750572894,11.809718195865253,11.809718195865253,13.00537109375,13.0,12.000000000000455,1.0161123069136249,1.5760735092321991,180.00000000000063,15.241684603703849,18.534788915829523,2,0.36000001430511475,1.108161831520031,61.50741146027081
15,0,26.205205565422748,55.733657414654395,11.809718195865253,11.809718195865253,12.6611328125,12.6611328125,12.0,1.0161123069135864,1.4560091556808412,192.00000000000063,16.257796910617436,19.990798071510365,2,0.3400000035762787,0.7075700208898754,61.593719511948805
16,0,26.300152580679118,55.9297573873342,11.809718195865253,11.809718195865253,12.283935546875,12.283935546875,11.999999999999744,1.0161123069135647,1.3297163220890238,204.00000000000037,17.273909217531003,21.32051439359939,2,0.25999999046325684,0.30734877606962463,61.68046063356184
17,0,26.394832564803792,56.12617838782891,11.809718195865253,11.809718195865253,12.2894287109375,12.2894287109375,19.74049634903588,1.6715467737365064,2.1903742166805467,223.74049634903625,18.945455991267508,23.510888610279935,2,0.23999999463558197,0.35043154112978575,61.767635148843624
18,1,26.55,56.45,11.331714545234252,11.331714545234252,11.5570068359375,11.5570068359375,12.000000000000284,1.058974787274984,1.1540548003770408,235.74049634903653,20.004430778542492,24.664943410656974,2,0.20000000298023224,0.2173284314106144,120.70349740545363
19,1,26.44782122536709,56.64193630809914,11.331714545234252,11.331714545234252,12.06787109375,12.06787109375,12.0,1.0589747872749589,1.3139604971512526,247.74049634903653,21.06340556581745,25.978903907808228,2,0.18000000715255737,1.1823944602620267,120.78913579862181
