node_id,segment,lat,lon,target_sog_knots,actual_sog_knots,required_sws_knots,clamped_sws_knots,distance_nm,time_h,fuel_mt,cum_distance_nm,cum_time_h,cum_fuel_mt,beaufort,wave_height_m,current_knots,heading_deg
44,2,23.80868828291025,61.46505144459315,11.986848389974112,11.986848389974112,12.7142333984375,12.7142333984375,12.000000000000114,1.0010971699647926,1.4526181745639872,554.1989590832886,46.282305559514526,62.41342267014535,4,1.2999999523162842,0.6146975521392493,117.02207195824641
45,2,23.717760939415,61.659523164914106,11.98684838997411,11.815435994134537,13.170166015625,13.0,11.999999999999886,1.01562058361257,1.5753108060709524,566.1989590832885,47.2979261431271,63.988733476216304,5,1.2999999523162842,0.5233961099167365,117.10043597070249
46,2,23.626590858686132,61.853723532691404,11.9887263410302,11.9887263410302,13.0035400390625,13.0,12.000000000000227,1.0009403550176506,1.5525405677414876,578.1989590832887,48.29886649814475,65.54127404395778,5,1.2799999713897705,0.38876888175247554,117.1784081005308
47,2,23.53517942579639,62.047653379027025,11.988726341030198,11.988726341030198,12.957763671875,12.957763671875,11.999999999999773,1.0009403550176128,1.5374573065971788,590.1989590832885,49.29980685316236,67.07873135055496,5,1.2400000095367432,0.40073380614459897,117.25598852233519
48,2,23.443528023168206,62.24131354435372,11.988726341030198,11.988726341030198,12.8314208984375,12.8314208984375,12.000000000000114,1.0009403550176412,1.492922121168157,602.1989590832886,50.30074720818,68.57165347172312,5,1.1799999475479126,0.35043154112978575,117.33317741817065
49,2,23.351638030551467,62.43470487830827,11.988726341030198,11.912654725795514,13.074951171875,13.0,11.999999999999886,1.0073321418453636,1.5624547532377904,614.1989590832885,51.30807935002536,70.13410822496091,5,1.100000023841858,0.6146975521392493,117.40997497747226
50,2,23.259510825001833,62.627828239605364,11.989590336110545,11.9132419495564,13.074951171875,13.0,11.999999999999886,1.007282488747466,1.5623777372113972,626.1989590832884,52.31536183877282,71.6964859621723,5,1.0399999618530273,0.6146975521392493,117.48638139685761
51,2,23.167147780859867,62.820684495912666,11.990467392735656,11.990467392735656,12.4029541015625,12.4029541015625,11.999999999999886,1.000795015486219,1.3481097335155174,638.1989590832883,53.31615685425904,73.04459569568782,4,0.9800000190734863,0.5667231510318896,117.56239688004223
52,2,23.074550269730683,63.01327452372654,11.990467392735658,11.990467392735658,12.14111328125,12.14111328125,12.000000000000568,1.000795015486276,1.2645190270724591,650.1989590832889,54.31695186974532,74.30911472276027,4,0.8999999761581421,0.5667231510318896,117.63802163765806
53,2,22.98171966046439,63.20559920824887,11.990467392735656,11.990467392735656,12.188720703125,12.188720703125,12.000000000000114,1.0007950154862382,1.2794526302479177,662.198959083289,55.31774688523156,75.58856735300819,4,0.8799999952316284,0.4859611102365778,117.71325588717349
54,2,22.888657319137042,63.39765944326465,11.990467392735658,11.990467392735658,12.401123046875,12.401123046875,11.999999999999886,1.0007950154862189,1.3475127551930726,674.1989590832889,56.318541900717776,76.93608010820125,4,0.8600000143051147,0.5667231510318896,117.7880998527073
55,2,22.795364609032386,63.589456131020675,11.990467392735658,11.990467392735658,12.2015380859375,12.2015380859375,12.000000000000227,1.0007950154862475,1.2834932065300082,686.1989590832891,57.31933691620402,78.21957331473126,3,0.8600000143051147,0.35043154112978575,117.86255376492204
56,2,22.701842890624125,63.78099018210505,11.990467392735658,11.990467392735658,12.03857421875,12.03857421875,11.999999999999204,1.000795015486162,1.2327499636734478,698.1989590832883,58.320131931690185,79.4523232784047,2,0.8600000143051147,0.13745056372739325,117.93661786091513
57,2,22.608093521558843,63.97226251532762,11.990467392735658,11.990467392735658,12.093505859375,12.093505859375,12.000000000000796,1.0007950154862948,1.2497020803918275,710.1989590832891,59.32092694717648,80.70202535879653,1,0.8600000143051147,0.13745056372739325,118.01029238402994
