node_id,segment,lat,lon,planned_sog_knots,actual_sog_knots,planned_sws_knots,actual_sws_knots,distance_nm,time_h,fuel_mt,cum_distance_nm,cum_time_h,cum_fuel_mt,beaufort,wave_height_m,current_knots,heading_deg
17,0,26.394832564803792,56.12617838782891,13,13.0,12.943115234375,12.943115234375,19.74049634903588,1.518499719156606,2.3245338260397443,223.74049634903625,17.55539756932611,27.188125098338507,2,0.4399999976158142,0.21598272460068274,61.767635148843624
18,1,26.55,56.45,13,13.0,12.2509765625,12.2509765625,12.000000000000284,0.9230769230769449,1.1982700976981133,235.74049634903653,18.478474492403056,28.38639519603662,1,0.36000001430511475,0.8099352051835853,120.70349740545363
19,1,26.44782122536709,56.64193630809914,13,13.0,11.9488525390625,11.9488525390625,12.0,0.9230769230769231,1.1117859959802092,247.74049634903653,19.40155141547998,29.49818119201683,1,0.30000001192092896,1.1879049933497385,120.78913579862181
20,1,26.34538650869462,56.83353195085728,13,13.0,12.0733642578125,12.0733642578125,12.000000000000085,0.9230769230769297,1.1469051575976843,259.7404963490366,20.32462833855691,30.645086349614512,2,0.25999999046325684,1.0259179136923013,120.87431588691152
21,1,26.242697448224845,57.02478821129246,13,13.0,12.4066162109375,12.4066162109375,11.999999999999773,0.9230769230769056,1.2445221724225999,271.7404963490364,21.247705261633815,31.88960852203711,3,0.2800000011920929,0.7019438187452938,120.95903829328337
22,1,26.139755637239208,57.21570638164479,13,13.0,12.3846435546875,12.3846435546875,12.0,0.9230769230769231,1.2379215677074997,283.7404963490364,22.17078218471074,33.12753008974461,4,0.2800000011920929,0.863930898402731,121.04330364780895
23,1,26.036562664045167,57.40628776319425,13,13.0,12.650146484375,12.650146484375,12.000000000000512,0.9230769230769624,1.3192565477821707,295.7404963490369,23.0938591077877,34.44678663752678,4,0.2800000011920929,0.4319654492013655,121.12711258749904
24,1,25.93312011196392,57.596533666080425,13,13.0,12.79296875,12.79296875,11.999999999999261,0.9230769230768663,1.3644468148166478,307.74049634903616,24.016936030864567,35.81123345234342,2,0.23999999463558197,0.21598272460068274,121.21046575611574
25,1,25.829429559318967,57.78644540912427,13,13.0,13.0035400390625,13.0,12.000000000000057,0.9230769230769275,1.4317680000000068,319.7404963490362,24.940012953941494,37.24300145234343,3,0.3199999928474426,0.16198704747350376,121.29336380396474
26,1,25.72549257942552,57.97602431965198,13,13.0,13.0035400390625,13.0,11.999999999999943,0.9230769230769187,1.4317679999999933,331.74049634903616,25.863089877018414,38.67476945234342,3,0.4000000059604645,0.16198704747350376,121.37580738770976
27,1,25.62131074058087,58.165271733320694,13,12.885971308164306,13.111572265625,13.0,12.000000000000114,0.9312452831861532,1.4444377963349448,343.7404963490363,26.794335160204568,40.119207248678364,4,0.36000001430511475,0.0,121.45779717019748
28,1,25.516885606055467,58.35418899394638,13,12.774575653750764,13.221435546875,13.0,12.000000000000284,0.9393658408118586,1.4570334470981392,355.74049634903656,27.733701001016428,41.576240695776505,4,0.5400000214576721,0.21598272460068274,121.53933382025991
29,1,25.412218734084895,58.542777453333606,13,12.474758036825742,13.514404296875,13.0,11.99999999999983,0.9619425053837183,1.4920517051355886,367.7404963490364,28.695643506400145,43.06829240091209,4,0.6000000238418579,0.4859611102365778,121.62041801253488
30,1,25.30731167786265,58.73103847110737,13,12.59833684572745,13.3990478515625,13.0,12.000000000000114,0.952506679805894,1.4774159659266857,379.7404963490365,29.64815018620604,44.54570836683878,3,0.6399999856948853,0.37796975598221977,121.70105042728271
31,1,25.202165985533703,58.918973414546954,13,13.0,12.9376220703125,12.9376220703125,11.999999999999943,0.9230769230769187,1.4112565686450174,391.74049634903645,30.571227109282958,45.956964935483796,3,0.6800000071525574,0.4319654492013655,121.7812317502071
32,1,25.09678320018889,59.10658365842173,13,13.0,12.8240966796875,12.8240966796875,12.000000000000398,0.9230769230769537,1.374431010028814,403.74049634903685,31.494304032359913,47.33139594551261,2,0.699999988079071,0.21598272460068274,121.86096267228741
33,1,24.99116485986,59.29387058482896,13,12.767904244085823,13.232421875,13.0,11.999999999999602,0.9398566726844055,1.4577947675806733,415.74049634903645,32.43416070504432,48.789190713093284,1,0.7400000095367432,0.26997840172786175,121.94024388958603
34,1,24.885312497515738,59.48083558303363,13,12.79045453837969,13.2086181640625,13.0,11.999999999999602,0.9381996522478376,1.4552245930078807,427.74049634903605,33.37236035729216,50.24441530610117,1,0.800000011920929,0.3239740949470075,122.01907610308272
35,1,24.77922764105834,59.66748004931028,13,12.678424029444846,13.3203125,13.0,12.000000000000341,0.9464898769855853,1.4680834113745556,439.7404963490364,34.31885023427775,51.712498717475725,2,0.800000011920929,0.3239740949470075,122.09746001851062
36,1,24.672911813320983,59.85380538678673,13,12.22300492424811,13.7762451171875,13.0,12.000000000000284,0.981755310937867,1.5227829912001287,451.7404963490367,35.30060554521561,53.235281708675856,2,0.8399999737739563,0.863930898402731,122.17539634617337
